,neighbors,smoothing,degree,burned_area,diurnal_temperature_range,landcover,precipitation,precipitation_obs,snow_cover_fraction,soil_moisture,surface_temperature,temperature_obs,terrestrial_water_storage
0,50,,1,10547120.481987242,0.6858144122963888,,21.83177944285521,11.211337962089916,4.447630407126323,0.018008174272834583,2.3461242189592024,0.7233494035398188,2.7632373005055326
1,50,,2,26706914.933029186,5.969184022041778,,180.71215515980475,19.55113321728236,10.443710153221598,0.05003508723516266,10.289393262572535,1.8830362829548306,14.618093175241965
2,50,0.1,1,10302150.11764757,0.6506708348453821,,21.3654231456416,11.246194916864555,4.1840428627831034,0.017282530575194202,2.1651110987961086,0.716601515107702,2.6322375478498667
3,50,0.1,2,26236936.19369235,5.799282799667332,,177.20762537387438,19.797529487411335,9.852662160766805,0.04928171641935046,9.67951436054385,1.8848606594841388,14.9922341509143
4,50,1.0,1,9895680.019332748,0.49217306333932437,,20.72691469716987,11.406224634567787,3.5745226673499513,0.015810953677776983,1.7413334962202498,0.7255226387921658,2.5847000785122063
5,50,1.0,2,26839044.060863502,5.132175069700784,,164.87738276503953,20.81817415547226,8.80884158673301,0.04942983854066243,7.845366784446556,1.9411815417752476,16.558276033451204
6,50,10.0,1,9482442.89481289,0.38937863688204677,,20.59136494536147,11.825209923969894,2.948323017764924,0.015133401968671054,1.5232396985164813,0.7972435509607352,2.8724450051704955
7,50,10.0,2,29136130.339146763,4.730926267117216,,142.52142467057743,22.702734729703778,8.325995972018427,0.050106968800794224,5.797341386280821,2.1149090952448364,17.923371143921813
8,50,100.0,1,8912968.273319764,0.3526337408972336,,21.035564693555152,12.546994057582776,2.709372135217852,0.01526847053496786,1.4272896691920416,0.850491201508881,3.0543046171248878
9,50,100.0,2,29940121.650625028,4.898054976345508,,136.14502355990783,25.715899442489835,8.429545245111258,0.05030290157473358,5.162507925766675,2.3393810940845445,18.5368269080373
10,50,1000.0,1,8633968.060469303,0.27275717735314714,,21.863636814321364,13.030887604187734,2.7118391030897646,0.015566292824426547,1.4022597012800462,0.8795421010713176,3.1002876189256585
11,50,1000.0,2,30159795.307605907,4.965800713719594,,135.81322636609588,26.88031833863318,8.52737307220001,0.05049697106489544,5.027549935100647,2.460822011510056,18.728720114383595
12,100,,1,9586000.322252171,0.7664411821163689,,20.446912821178152,10.591788442857455,3.9752627497551067,0.01610890676430144,2.1728066466646876,0.6789274978777737,2.375175154501301
13,100,,2,13320933.225463342,1.711551065249057,,57.27887419605419,13.149712609740375,6.636654277711925,0.025969169990665866,4.616680424371054,1.0549384029143658,4.680654096780014
14,100,0.1,1,9337469.285308747,0.6813690788015221,,19.87933893593731,10.628725694868354,3.715040077826119,0.015534501448430623,1.9925929563200893,0.6722343599487984,2.30408569047456
15,100,0.1,2,13239889.701752083,1.4729246235054643,,57.9032216460417,13.256999611957722,6.270155962398691,0.025080370265064975,4.403759697193328,1.0339120467573784,4.743213672248399
16,100,1.0,1,8729431.573934598,0.4818297190372875,,19.046417158701033,10.814578537028693,3.157312427885607,0.01419300925089458,1.5616098719643403,0.6730089370401325,2.2686613759896614
17,100,1.0,2,13340450.874201844,1.1731720724552241,,53.85487428815447,13.909027083148484,5.767863300675872,0.023587145481225348,4.150371019815289,0.9867711341924771,5.3448741983503405
18,100,10.0,1,7851616.550444733,0.3540086181678802,,18.195012150946873,11.328772814229286,2.546369742323983,0.013036561457438776,1.3268890257199355,0.7223918678209352,2.506636844073315
19,100,10.0,2,12821375.792902056,1.0485791904941402,,51.131324355278835,15.08538613728412,5.139383424407896,0.023366448467230815,4.310078680542635,1.0027333071966225,5.550523583376854
